Name;Series;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Rating;Predecessors_Count;Predecessors_Global_Sales_Mean;Predecessors_JP_Sales_Mean;Predecessors_EU_Sales_Mean;Predecessors_NA_Sales_Mean;Predecessors_Other_Sales_Mean
Wii Sports;"";Wii;2006;Sports;Nintendo;41.36;28.96;3.77;8.45;82.54;76.0;51;8.0;324;E;2;16.580000000000002;1.66;5.545;7.89;1.49
Super Mario Bros.;"";NES;1985;Platform;Nintendo;29.08;3.58;6.81;0.77;40.24;0.0;0;0.0;0;;12;10.276363636363639;2.2672727272727276;2.5399999999999996;4.8163636363636355;0.6536363636363637
Mario Kart Wii;"";Wii;2008;Racing;Nintendo;15.68;12.8;3.79;3.29;35.57;82.0;73;8.3;712;E;0;0;0;0;0;0
Wii Sports Resort;"";Wii;2009;Sports;Nintendo;15.61;10.95;3.28;2.95;32.78;80.0;73;8.0;193;E;0;0;0;0;0;0
Pokemon Red/Pokemon Blue;"";G;1996;Role-Playing;Nintendo;11.27;8.89;10.22;1.0;31.37;0.0;0;0.0;0;;1;2.06;0.74;0.52;0.71;0.08
Tetris;"";G;1989;Puzzle;Nintendo;23.2;2.26;4.22;0.58;30.26;0.0;0;0.0;0;;27;0.8753846153846153;0.20846153846153842;0.15807692307692306;0.47346153846153854;0.03615384615384617
New Super Mario Bros.;"";DS;2006;Platform;Nintendo;11.28;9.15;6.5;2.88;29.81;89.0;65;8.5;433;E;3;14.573333333333332;2.8233333333333337;3.8733333333333335;6.8133333333333335;1.0666666666666667
Wii Play;"";Wii;2006;Misc;Nintendo;13.96;9.18;2.93;2.84;28.92;58.0;41;6.6;129;E;1;0.92;0.18;0.42;0.23;0.09
New Super Mario Bros. Wii;"";Wii;2009;Platform;Nintendo;14.48;6.95;4.7;2.25;28.38;87.0;80;8.4;595;E;0;0;0;0;0;0
Duck Hunt;"";NES;1984;Shooter;Nintendo;26.93;0.63;0.28;0.47;28.31;0.0;0;0.0;0;;9;0.15;0.0;0.0;0.14;0.01
Nintendogs;"";DS;2005;Simulation;Nintendo;9.05;10.95;1.93;2.74;24.67;0.0;0;0.0;0;;2;3.92;0.73;1.47;1.44;0.27
Mario Kart DS;"";DS;2005;Racing;Nintendo;9.71;7.48;4.13;1.9;23.22;91.0;64;8.6;465;E;0;0;0;0;0;0
Pokemon Gold/Pokemon Silver;"";G;1999;Role-Playing;Nintendo;9.0;6.18;7.2;0.71;23.1;0.0;0;0.0;0;;0;0;0;0;0;0
Wii Fit;"";Wii;2007;Sports;Nintendo;8.92;8.03;3.6;2.15;22.7;80.0;63;7.7;146;E;2;11.32;1.3699999999999999;4.36;4.68;0.91
Kinect Adventures!;"";X360;2010;Misc;Microsoft Game Studios;15.02;4.91;0.24;1.69;21.86;61.0;45;6.3;106;E;64;0.9433333333333334;0.006666666666666667;0.14666666666666667;0.7233333333333333;0.06666666666666667
Wii Fit Plus;"";Wii;2009;Sports;Nintendo;9.01;8.49;2.53;1.77;21.79;80.0;33;7.4;52;E;0;0;0;0;0;0
Grand Theft Auto V;"";PS3;2013;Action;Take-Two Interactive;7.02;9.14;0.98;3.97;21.12;97.0;50;8.2;4009;M;4;9.157499999999999;0.1125;3.75;4.2775;1.0175
Grand Theft Auto: San Andreas;Grand Theft Auto;PS2;2004;Action;Take-Two Interactive;9.43;0.4;0.41;10.57;20.81;95.0;80;9.0;1606;M;12;3.5309090909090908;0.09545454545454546;1.3054545454545454;1.5954545454545455;0.5354545454545454
Super Mario World;"";SNES;1990;Platform;Nintendo;12.78;3.75;3.54;0.55;20.61;0.0;0;0.0;0;;4;4.24;1.015;0.85;2.1975000000000002;0.18
Brain Age: Train Your Brain in Minutes a Day;Brain Age;DS;2005;Misc;Nintendo;4.74;9.2;4.16;2.04;20.15;77.0;58;7.9;50;E;1;0;0;0;0;0
